Nom,Adreces/Carrer,Adreces/Carrer (bis),Adreces/Ciutat,Adreces/Codi postal,Adreces/Subdivisió/Codi,Adreces/País/Codi,CIF/NIF
2011 CINES LLOBREGAT S.L.,"MALLORCA, 221 6",,Barcelona,08008,ES-B,ES,ESB65144370
25 OSONA BUS S.A.,"PZ TETUAN, 30",,Barcelona,08010,ES-B,ES,ESA08290538
4. LIFE RESEARCH SPAIN S.L.,"AV DIAGONAL, 453 7 C",,Barcelona,08036,ES-B,ES,ESB64546401
A. 00 ISTENCIA AVANÇADA BCN S.L.,"GRAN VIA DE LES CORTS CATALANES, 652 BJ",,Barcelona,08010,ES-B,ES,ESB62081716
A. 3. APROFITAMENT ASSESORAMENT AMBIENTAL S.L.,"MAS PUJOL, 15",,Poligono Industrial Congost,08520,ES-B,ES,ESB62870530
ABERTIS AIRPORTS S.A.,"AV PARC LOGISTIC, 12",,Barcelona,08040,ES-B,ES,ESA63813158
ABEZETA S.A.,"VALENCIA, 348 BJ 1",,Barcelona,08009,ES-B,ES,ESA08512493
A. B. M. JOBGAR S.L.,"RIERA DE GUALBA, 2",,Gualba De Baix,08474,ES-B,ES,ESB64729197
ABOLAFIO SERVEIS I MANTENIMENTS S.L.,"LLIÇA, 2",,Mas Dorca,08480,ES-B,ES,ESB65039695
ABRASIVOS SAIT ESPAÑA S.A.,"VIA EUROPA, S/N",,P.O.Pla Llerona,08520,ES-B,ES,ESA61424222
ABRATOOLS S.A.,"SEVERO OCHOA, 40",,Granollers,08403,ES-B,ES,ESA08829426
ABRISUD IBERICA PRODUCCION S.L.,"MONTSERRAT ROIG, 17",,L'Hospitalet De Llobregat,08908,ES-B,ES,ESB63796791
ABT INGENIERIA Y CONSULTORIA MEDIOAMBIENTAL S. A.,"RD CAN FATJO, 19 P TECNO VALL A",,Cerdanyola Del Valles,08290,ES-B,ES,ESU62931373
ACCESORIOS DIMAC S.L.,"NARCIS MONTURIOL, 34",,Sant Quirze Del Valles,08192,ES-B,ES,ESB58507757
AC DENTAL S.L.,"RB SANT SEBASTIA, 47",,Santa Coloma De Gramenet,08921,ES-B,ES,ESB62598909
ACEMLO BARCELONA S.L.,"NUMERO 4, 57 SEC C MERCAT C PEIX PUE",,Barcelona,08040,ES-B,ES,ESB60621653
ACEROS DEL VALLES S.L.,"BARCELONA, 33 BX",,La Llagosta,08120,ES-B,ES,ESB08319048
ACEROS LLOBREGAT S.A.,"LUXEMBURG, 3",,Rubi,08191,ES-B,ES,ESA60613700
ACL DIRECTPROMO S.L.,"PJ TEODOR LLORENTE, 53",,Sabadell,08206,ES-B,ES,ESB60399318
ACR GLASS TALLERES S.L.,"VILAMARI, 50 5 A",,Barcelona,08015,ES-B,ES,ESB65297897
ACSA BATH SOLUTIONS COMERCIAL S.L.,"VICTOR HUGO, 4 3",,Sant Cugat Del Valles,08174,ES-B,ES,ESB64215445
ACTEON MEDICO DENTAL IBERICA S.A.,"AV PRINCIPAL, S/N PI CAN CLAPERS",,Sentmenat,08181,ES-B,ES,ESA58195611
ACTIVIDADES DIGITAL MEDIA S.L.U.,"AV DIAGONAL, 477 3",,Barcelona,08036,ES-B,ES,ESB58481656
ACTIVITATS PDP S.L.,"MAR, 65",,Badalona,08911,ES-B,ES,ESB60010212
ACUARIUM SUCS S.L.,"BOLIVIA, 340",,Barcelona,08019,ES-B,ES,ESB60936358
ACUSTICA INTEGRAL S.L.,"AV CASTELL DE BARBERA, 10",,Barbera Del Valles,08210,ES-B,ES,ESB60991650
ACZEDA S.L.,"CORSEGA, 276 2 2",,Barcelona,08008,ES-B,ES,ESB61322301
ADAGIO PROJECTES INMOBILIARIS S.L.,"ALFONS XII, 18 EN 4",,Barcelona,08006,ES-B,ES,ESB63356117
ADHESIVOS COROMINA S.A.,"CR C-155, 15",,Lliça De Vall,08185,ES-B,ES,ESA08798688
ADI CENTER S.L.,"PJ MARIE CURIE, 17",,Terrassa,08223,ES-B,ES,ESB61933453
ADNEHO S.L.,"AV PARAL·LEL, 144 BJ",,Barcelona,08015,ES-B,ES,ESB60598851
ADNORES 98 S.L.,"CALABRIA, 267",,Barcelona,08029,ES-B,ES,ESB61564324
ADOBE SYSTEMS IBERICA S.L.,"MARINA, 16 22 A",,Barcelona,08005,ES-B,ES,ESB59814061
ADO CERRAMIENTOS METALICOS S.A.,"ACER, 37",,Badalona,08915,ES-B,ES,ESA58044652
